Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı
Bir İdam Mahkumunun Son Günü,"Victor Hugo, Volkan Yalçıntoklu (Çevirmen)",null,Kasım 2013,136,Karton kapak,9786053609902,"Dünya Klasikleri, Edebiyat, Roman",Le Dernier Jour D'un Condamne,Volkan Yalçıntoklu,Türkçe,null,null,null,0-13 Yaş%7.614-17 Yaş%10.118-24 Yaş%28.125-34 Yaş%31.735-44 Yaş%16.145-54 Yaş%3.855-64 Yaş%165+ Yaş%1.7,Kadın%58.1Erkek%41.8,8.5,4.179
Gurur ve Önyargı,"Jane Austen, Hamdi Koç (Çevirmen)",null,Haziran 2019,424,Karton kapak,9789754587029,"Aşk, Dünya Klasikleri, Edebiyat, Roman",Pride and Prejudice,null,Türkçe,Türkiye,null,null,0-13 Yaş%19.514-17 Yaş%15.718-24 Yaş%23.825-34 Yaş%21.935-44 Yaş%12.745-54 Yaş%4.255-64 Yaş%0.265+ Yaş%2,Kadın%83.9Erkek%16.1,8.5,4.014
Harry Potter ve Felsefe Taşı,"J. K. Rowling (Robert Galbraith), Ülkü Tamer (Çevirmen), Ayça Sabuncuoğlu (Editör)",Harry Potter #1,Mayıs 2016,274,Karton kapak,9789750802942,"Edebiyat, Fantastik, Gençlik, Roman",Harry Potter And The Philosopher's Stone,null,Türkçe,null,null,null,0-13 Yaş%11.814-17 Yaş%28.118-24 Yaş%30.925-34 Yaş%19.735-44 Yaş%5.645-54 Yaş%255-64 Yaş%0.365+ Yaş%1.5,Kadın%73.1Erkek%26.9,9.2,4.216
Toprak Ana,"Cengiz Aytmatov, Refik Özdek (Çevirmen)",null,Ocak 2019,136,Karton kapak,9789754371543,"Edebiyat, Roman",эне жер,null,Türkçe,Türkiye,null,null,0-13 Yaş%9.814-17 Yaş%14.118-24 Yaş%24.125-34 Yaş%27.735-44 Yaş%16.145-54 Yaş%4.755-64 Yaş%165+ Yaş%2.2,Kadın%64.9Erkek%34.9,8.8,3.646
Senden Önce Ben,"Jojo Moyes, Ayşe Görür (Çevirmen)",null,Nisan 2013,480,Karton kapak,9786053430674,"Aşk, Edebiyat, Roman",Me Before You,Ayşe Görür,Türkçe,null,null,null,0-13 Yaş%21.814-17 Yaş%15.918-24 Yaş%22.925-34 Yaş%17.235-44 Yaş%15.745-54 Yaş%4.455-64 Yaş%0.465+ Yaş%1.7,Kadın%90.7Erkek%9.3,8.4,3.474
Açlık Oyunları,"Suzanne Collins, Taylan Taftaf (Çevirmen)",Açlık Oyunları #1,13 Kasım 2015,420,Karton kapak,9786050929997,"Aşk, Bilim-Kurgu, Edebiyat, Fantastik, Gençlik, Macera-Aksiyon, Roman",The Hunger Games (The Hunger Games #1),null,Türkçe,null,null,null,0-13 Yaş%14.214-17 Yaş%21.518-24 Yaş%30.225-34 Yaş%17.935-44 Yaş%12.145-54 Yaş%2.755-64 Yaş%0.265+ Yaş%1.2,Kadın%76.7Erkek%23.2,8.5,2.889
Nietzsche Ağladığında,"Irvin D. Yalom, Aysun Babacan (Çevirmen)",null,Ağustos 2016,432,Karton kapak,9789755391465,"Edebiyat, Felsefe-Düşünce, Psikoloji, Roman, Tarih",When Nietzsche Wept,null,Türkçe,Türkiye,null,null,0-13 Yaş%21.814-17 Yaş%5.518-24 Yaş%17.325-34 Yaş%20.435-44 Yaş%22.745-54 Yaş%8.755-64 Yaş%0.965+ Yaş%2.6,Kadın%65Erkek%35,9.1,3.957
Fatih Harbiye,Peyami Safa (Server Bedi),null,Nisan 2017,138,Karton kapak,9789754370232,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Ötüken Neşriyat,null,0-13 Yaş%10.414-17 Yaş%16.618-24 Yaş%28.825-34 Yaş%25.635-44 Yaş%12.145-54 Yaş%3.755-64 Yaş%0.865+ Yaş%2.1,Kadın%71.7Erkek%28.2,7.8,2.365
Bab-ı Esrar,"Ahmet Ümit, Utku Lomlu (Tasarımcı)",null,Kasım 2018,408,Karton kapak,9786051411224,"Edebiyat, Polisiye, Roman, Tarih",Bab-ı Esrar,null,Türkçe,Türkiye,null,null,0-13 Yaş%1414-17 Yaş%7.618-24 Yaş%2125-34 Yaş%22.935-44 Yaş%23.245-54 Yaş%8.355-64 Yaş%0.765+ Yaş%2.3,Kadın%72.6Erkek%27.3,8.1,2.918
Beyaz Geceler,"Dostoyevski, Barış Zeren (Çevirmen)",null,3 Ocak 2019,218,Karton kapak,9786053321392,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü), Roman",Belıye Noçi,null,Türkçe,Türkiye,null,null,0-13 Yaş%1714-17 Yaş%11.218-24 Yaş%23.625-34 Yaş%25.535-44 Yaş%14.945-54 Yaş%4.655-64 Yaş%0.565+ Yaş%2.6,Kadın%60Erkek%40,8.3,3.493
Kırmızı Saçlı Kadın,Orhan Pamuk,null,Ağustos 2019,211,Karton kapak,9789750835605,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%15.914-17 Yaş%10.618-24 Yaş%22.725-34 Yaş%25.835-44 Yaş%17.245-54 Yaş%5.455-64 Yaş%0.865+ Yaş%1.6,Kadın%74.9Erkek%25,7.7,3.336
Fedailerin Kalesi Alamut,"Vladimir Bartol, Ender Nail (Çevirmen)",null,Mart 2012,510,Karton kapak,9786054188970,"Edebiyat, Roman, Tarih",Alamut,Ender Nail,Türkçe,null,null,null,0-13 Yaş%15.814-17 Yaş%4.818-24 Yaş%17.425-34 Yaş%3035-44 Yaş%22.245-54 Yaş%6.555-64 Yaş%0.965+ Yaş%2.5,Kadın%50Erkek%49.9,8.9,3.903
Yaban,Yakup Kadri Karaosmanoğlu,Bütün Eserleri 1,Ekim 2017,214,Karton kapak,9789754700060,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%9.314-17 Yaş%12.518-24 Yaş%25.525-34 Yaş%27.835-44 Yaş%1745-54 Yaş%5.355-64 Yaş%0.665+ Yaş%2,Kadın%67.2Erkek%32.7,8.2,2.440
Ermiş,"Halil Cibran, Ayşe Berktay (Çevirmen)",null,Ocak 2014,55,Karton kapak,9786053320128,"Dünya Klasikleri, Felsefe-Düşünce",The Prophet,null,Türkçe,Türkiye,null,null,0-13 Yaş%7.714-17 Yaş%7.418-24 Yaş%25.925-34 Yaş%33.335-44 Yaş%18.645-54 Yaş%4.855-64 Yaş%0.765+ Yaş%1.6,Kadın%65.7Erkek%34.1,8.4,3.713
Cesur Yeni Dünya,"Aldous Huxley, Ümit Tosun (Çevirmen)",null,Haziran 2013,266,Karton kapak,9789756902165,"Bilim-Kurgu, Edebiyat, Roman",Brave New World,Ümit Tosun,Türkçe,null,null,null,0-13 Yaş%17.214-17 Yaş%1618-24 Yaş%22.225-34 Yaş%22.235-44 Yaş%14.745-54 Yaş%5.155-64 Yaş%0.765+ Yaş%1.8,Kadın%64.8Erkek%35.2,8.3,4.292
Kumarbaz,"Dostoyevski, Koray Karasulu (Çevirmen)",null,29 Kasım 2018,187,Karton kapak,9786053608288,"Dünya Klasikleri, Edebiyat, Roman",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%10.714-17 Yaş%7.918-24 Yaş%25.125-34 Yaş%30.635-44 Yaş%17.845-54 Yaş%5.155-64 Yaş%0.365+ Yaş%2.5,Kadın%44.2Erkek%55.7,8.3,3.187
Sergüzeşt,Samipaşazade Sezai,null,Kasım 2015,128,Karton kapak,9789756316405,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Bilge Kültür Sanat,null,0-13 Yaş%9.314-17 Yaş%16.618-24 Yaş%34.325-34 Yaş%24.435-44 Yaş%9.645-54 Yaş%355-64 Yaş%0.565+ Yaş%2.4,Kadın%77.9Erkek%22,7.7,2.040
Şah ve Sultan,İskender Pala,null,Kasım 2010,390,Karton kapak,9786054322374,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,Kapı Yayınları,null,0-13 Yaş%14.214-17 Yaş%718-24 Yaş%23.825-34 Yaş%25.235-44 Yaş%20.645-54 Yaş%755-64 Yaş%0.565+ Yaş%1.7,Kadın%62.3Erkek%37.6,8.5,2.835
Gün Olur Asra Bedel,"Cengiz Aytmatov, Refik Özdek (Çevirmen)",null,Ocak 2019,413,Karton kapak,9789754370539,"Edebiyat, Roman",И дольше века длится день,null,Türkçe,Türkiye,null,null,0-13 Yaş%10.814-17 Yaş%11.518-24 Yaş%2625-34 Yaş%27.735-44 Yaş%15.645-54 Yaş%5.555-64 Yaş%1.265+ Yaş%1.8,Kadın%64.3Erkek%35.6,8.6,2.907
İstanbul Hatırası,Ahmet Ümit,null,Ekim 2012,590,Karton kapak,9789752897458,"Edebiyat, Polisiye, Roman, Tarih",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%12.514-17 Yaş%8.818-24 Yaş%19.225-34 Yaş%24.635-44 Yaş%22.745-54 Yaş%9.355-64 Yaş%1.465+ Yaş%1.5,Kadın%70.5Erkek%29.4,8.6,3.010
İnce Memed 1,Yaşar Kemal,null,Mayıs 2019,438,Karton kapak,9789750807146,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%8.214-17 Yaş%5.718-24 Yaş%16.825-34 Yaş%2835-44 Yaş%24.745-54 Yaş%11.955-64 Yaş%2.465+ Yaş%2.2,Kadın%55.9Erkek%44.1,9.4,3.803
Sofie'nin Dünyası,"Jostein Gaarder, Sabir Yücesoy (Çevirmen)",null,27 Şubat 2017,591,Karton kapak,9789758434572,"Edebiyat, Felsefe-Düşünce, Roman",Sofies Verden,null,Türkçe,Türkiye,null,null,0-13 Yaş%20.114-17 Yaş%1018-24 Yaş%18.325-34 Yaş%22.635-44 Yaş%18.745-54 Yaş%7.355-64 Yaş%0.765+ Yaş%2.3,Kadın%64.1Erkek%35.9,8.5,3.085
Puslu Kıtalar Atlası,İhsan Oktay Anar,null,Kasım 2018,238,Karton kapak,9789754704723,"Edebiyat, Fantastik, Roman",null,null,Türkçe,Türkiye,İletişim Yayınları,null,0-13 Yaş%10.914-17 Yaş%4.118-24 Yaş%21.525-34 Yaş%32.435-44 Yaş%23.545-54 Yaş%655-64 Yaş%0.765+ Yaş%1,Kadın%58.2Erkek%41.7,8.8,3.787
Son Ada,Zülfü Livaneli,null,Eylül 2013,196,Karton kapak,9786050916362,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%10.614-17 Yaş%7.118-24 Yaş%14.825-34 Yaş%26.935-44 Yaş%27.445-54 Yaş%10.455-64 Yaş%1.665+ Yaş%1.3,Kadın%72.7Erkek%27.2,8.8,3.400
Alacakaranlık,"Stephenie Meyer, Hüseyin Baran (Çevirmen)",Alacakaranlık Efsanesi #1,Ekim 2017,400,Karton kapak,9789944821094,"Aşk, Edebiyat, Fantastik, Korku-Gerilim, Macera-Aksiyon, Roman",Twilight,null,Türkçe,null,null,null,0-13 Yaş%11.214-17 Yaş%11.218-24 Yaş%36.625-34 Yaş%24.635-44 Yaş%11.245-54 Yaş%3.755-64 Yaş%065+ Yaş%1.4,Kadın%87.9Erkek%12,7.9,1.982
Beyoğlu'nun En Güzel Abisi,Ahmet Ümit,null,Ekim 2013,418,Karton kapak,9786051416830,"Polisiye, Edebiyat, Roman",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%11.414-17 Yaş%7.718-24 Yaş%22.125-34 Yaş%24.735-44 Yaş%23.145-54 Yaş%8.355-64 Yaş%0.865+ Yaş%1.9,Kadın%70.2Erkek%29.7,8.1,2.778
İki Şehrin Hikâyesi,"Charles Dickens, Meram Arvas (Çevirmen)",null,Mayıs 2019,464,Karton kapak,9789750738869,"Dünya Klasikleri, Edebiyat, Roman",A Tale Of Two Cities,null,Türkçe,Türkiye,null,null,0-13 Yaş%17.514-17 Yaş%8.718-24 Yaş%23.725-34 Yaş%2735-44 Yaş%14.345-54 Yaş%5.455-64 Yaş%0.465+ Yaş%3,Kadın%63Erkek%37,8.5,2.995
Momo,"Michael Ende, Leman Çalışkan (Çevirmen)",null,Eylül 2017,304,Karton kapak,9786052993019,"Edebiyat, Gençlik, Roman",Momo,Leman Çalışkan,Türkçe,null,null,null,0-13 Yaş%20.114-17 Yaş%22.418-24 Yaş%1725-34 Yaş%21.135-44 Yaş%14.245-54 Yaş%2.655-64 Yaş%0.465+ Yaş%2.3,Kadın%79.3Erkek%20.7,8.7,3.594
Veronika Ölmek İstiyor,"Paulo Coelho, Haldun Pamir (Çevirmen)",null,Ağustos 2015,200,Karton kapak,9789750712814,"Edebiyat, Roman",Veronika Decide Morrer,null,Türkçe,Türkiye,null,null,0-13 Yaş%9.214-17 Yaş%11.618-24 Yaş%22.125-34 Yaş%27.435-44 Yaş%21.245-54 Yaş%6.555-64 Yaş%0.665+ Yaş%1.2,Kadın%81.8Erkek%18.2,8.4,3.198
Vadideki Zambak,"Honore de Balzac, Volkan Yalçıntoklu (Çevirmen)",null,Mayıs 2019,328,Karton kapak,9786053328582,"Aşk, Dünya Klasikleri, Edebiyat, Roman",Le Lys Dans la Vallée,null,Türkçe,Türkiye,null,null,0-13 Yaş%16.914-17 Yaş%6.318-24 Yaş%22.325-34 Yaş%2635-44 Yaş%18.645-54 Yaş%6.455-64 Yaş%0.665+ Yaş%3,Kadın%67.6Erkek%32.4,7.8,2.321
Ay Işığı Sokağı,"Stefan Zweig, Regaip Minareci (Çevirmen)",null,Mayıs 2017,80,Karton kapak,9786052950722,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%11.214-17 Yaş%18.518-24 Yaş%27.825-34 Yaş%24.435-44 Yaş%13.145-54 Yaş%3.955-64 Yaş%0.565+ Yaş%0.5,Kadın%69.9Erkek%30,7.5,2.803
Yüzyıllık Yalnızlık,"Gabriel Garcia Marquez, Seçkin Selvi (Çevirmen)",null,Ağustos 2016,464,Karton kapak,9789750719363,"Edebiyat, Roman",Cien Anos De Soledad,Seçkin Selvi,Türkçe,null,null,null,0-13 Yaş%23.114-17 Yaş%4.818-24 Yaş%15.925-34 Yaş%24.935-44 Yaş%2045-54 Yaş%7.655-64 Yaş%1.165+ Yaş%2.6,Kadın%63.1Erkek%36.9,8.5,3.294
Eylül,Mehmet Rauf,null,Ekim 2017,365,Karton kapak,9789751019363,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,İnkılap Kitabevi,null,0-13 Yaş%8.114-17 Yaş%8.118-24 Yaş%2825-34 Yaş%32.835-44 Yaş%15.345-54 Yaş%5.555-64 Yaş%0.365+ Yaş%1.9,Kadın%79.7Erkek%20.2,7.6,1.841
Hayvanlardan Tanrılara,"Yuval Noah Harari, Ertuğrul Genç (Çevirmen)",İnsan Türünün Kısa Bir Tarihi,Şubat 2015,412,Karton kapak,9786055029357,"Araştırma-İnceleme, Bilim-Teknoloji-Mühendislik, Felsefe-Düşünce, İnsan ve Toplum, Tarih","קיצור תולדות האנושות‎,",null,Türkçe,null,null,null,0-13 Yaş%21.514-17 Yaş%4.618-24 Yaş%18.725-34 Yaş%2535-44 Yaş%19.645-54 Yaş%7.455-64 Yaş%165+ Yaş%2.3,Kadın%46.5Erkek%53.5,8.7,3.837
Sokrates'in Savunması,"Platon, Ari Çokona (Çevirmen)",null,15 Şubat 2019,200,Karton kapak,9786053607021,"Felsefe-Düşünce, Hukuk",null,null,Türkçe,Türkiye,İş Bankası Kültür Yayınları,null,0-13 Yaş%8.414-17 Yaş%6.518-24 Yaş%30.425-34 Yaş%3135-44 Yaş%15.645-54 Yaş%4.755-64 Yaş%0.865+ Yaş%2.7,Kadın%53.4Erkek%46.5,8.5,2.561
Martin Eden,"Jack London, Levent Cinemre (Çevirmen)",null,Ekim 2016,520,Karton kapak,9786053322122,"Dünya Klasikleri, Edebiyat, Roman",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%16.914-17 Yaş%8.218-24 Yaş%19.825-34 Yaş%27.635-44 Yaş%17.845-54 Yaş%6.355-64 Yaş%165+ Yaş%2.5,Kadın%59.8Erkek%40.2,9.2,3.914
Bir Psikiyatristin Gizli Defteri,"Gary Small, Gigi Vorgan, Duygu Akın (Çevirmen)",En Sıradışı Vakalar,Şubat 2013,336,Karton kapak,9786055443801,"İnsan ve Toplum, Psikoloji",The Other Side of the Couch,Duygu Akın,null,null,null,null,0-13 Yaş%21.414-17 Yaş%5.818-24 Yaş%23.925-34 Yaş%24.335-44 Yaş%1745-54 Yaş%5.355-64 Yaş%0.765+ Yaş%1.5,Kadın%79.4Erkek%20.6,7.7,2.676
Yaprak Dökümü,Reşat Nuri Güntekin,null,Temmuz 2016,160,Karton kapak,9789751026491,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,İnkılâp Kitabevi,null,0-13 Yaş%714-17 Yaş%7.518-24 Yaş%21.725-34 Yaş%32.635-44 Yaş%20.145-54 Yaş%8.455-64 Yaş%1.365+ Yaş%1.5,Kadın%80.8Erkek%19.2,8.1,1.574
Cehennem,"Dan Brown, Petek Demir (Çevirmen), İpek Demir (Çevirmen)",Robert Langdon Serisi 4,Mayıs 2013,576,Karton kapak,9789752116832,"Edebiyat, Korku-Gerilim, Roman",Inferno,null,Türkçe,null,null,null,0-13 Yaş%8.214-17 Yaş%7.418-24 Yaş%21.425-34 Yaş%25.835-44 Yaş%25.945-54 Yaş%955-64 Yaş%0.865+ Yaş%1.6,Kadın%64.1Erkek%35.8,8.6,2.658
İnsancıklar,"Dostoyevski, Sabri Gürses (Çevirmen), Ayşe Çelem (Tasarımcı)",null,13 Mart 2019,184,Karton kapak,9789750739606,"Anı-Mektup-Günlük, Dünya Klasikleri, Edebiyat, Roman",Bedniye lyudi,null,Türkçe,Türkiye,null,null,0-13 Yaş%614-17 Yaş%6.418-24 Yaş%27.825-34 Yaş%32.335-44 Yaş%18.245-54 Yaş%5.655-64 Yaş%1.165+ Yaş%2.5,Kadın%57.4Erkek%42.4,8.2,2.591
Mutluluk,Zülfü Livaneli,null,Aralık 2015,392,Karton kapak,9786050904192,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%8.914-17 Yaş%3.518-24 Yaş%14.225-34 Yaş%27.535-44 Yaş%30.445-54 Yaş%12.855-64 Yaş%1.565+ Yaş%1.2,Kadın%79.2Erkek%20.7,8.4,2.126
Babalar ve Oğullar,"Ivan Sergeyeviç Turgenyev, Ergin Altay (Çevirmen)",null,13 Haziran 2019,264,Karton kapak,9789944885454,"Dünya Klasikleri, Edebiyat, Roman",Отцы и дети,null,Türkçe,Türkiye,null,null,0-13 Yaş%8.614-17 Yaş%8.818-24 Yaş%22.925-34 Yaş%31.935-44 Yaş%19.145-54 Yaş%5.855-64 Yaş%0.965+ Yaş%2,Kadın%56.2Erkek%43.8,8.2,2.474
Sırça Köşk,Sabahattin Ali,null,6 Kasım 2018,141,Karton kapak,9789750806629,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%7.914-17 Yaş%7.418-24 Yaş%2325-34 Yaş%33.935-44 Yaş%20.145-54 Yaş%5.255-64 Yaş%1.365+ Yaş%1.2,Kadın%61.9Erkek%38.1,8.4,2.558
Aynı Yıldızın Altında,"John Green, Çiçek Eriş (Çevirmen)",null,Haziran 2013,320,Karton kapak,9786053430933,"Aşk, Edebiyat, Roman",The Fault In Our Stars,null,Türkçe,Türkiye,null,null,0-13 Yaş%14.714-17 Yaş%22.218-24 Yaş%39.725-34 Yaş%13.335-44 Yaş%6.845-54 Yaş%1.655-64 Yaş%0.365+ Yaş%1.4,Kadın%91.2Erkek%8.7,8.2,2.564
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,null,Nisan 2019,382,Karton kapak,9789759955762,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Dergah Yayınları,null,0-13 Yaş%19.214-17 Yaş%5.218-24 Yaş%20.525-34 Yaş%25.935-44 Yaş%19.345-54 Yaş%7.355-64 Yaş%0.965+ Yaş%1.8,Kadın%60.7Erkek%39.3,8.6,2.883
Ve Dağlar Yankılandı,"Khaled Hosseini, Püren Özgören (Çevirmen)",null,28 Mart 2019,424,Karton kapak,9786051416779,"Edebiyat, Roman",And the Mountains Echoed,null,Türkçe,Türkiye,null,null,0-13 Yaş%8.314-17 Yaş%8.518-24 Yaş%22.425-34 Yaş%26.635-44 Yaş%23.145-54 Yaş%8.555-64 Yaş%0.965+ Yaş%1.6,Kadın%81.7Erkek%18.2,7.8,2.307
Hasretinden Prangalar Eskittim,Ahmed Arif,null,Kasım 2017,184,Karton kapak,9789753426527,"Edebiyat, Şiir",null,null,Türkçe,Türkiye,Metis Yayınları,null,0-13 Yaş%8.414-17 Yaş%5.818-24 Yaş%2325-34 Yaş%30.735-44 Yaş%2245-54 Yaş%6.755-64 Yaş%165+ Yaş%2.5,Kadın%62Erkek%37.9,9.2,2.505
Acımak,Reşat Nuri Güntekin,null,Nisan 2019,159,Karton kapak,9789751026569,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,İnkılâp Kitabevi,null,0-13 Yaş%814-17 Yaş%10.918-24 Yaş%26.325-34 Yaş%27.735-44 Yaş%16.445-54 Yaş%7.755-64 Yaş%1.165+ Yaş%1.9,Kadın%80.3Erkek%19.7,8.7,2.210
Harry Potter ve Sırlar Odası,"J. K. Rowling (Robert Galbraith), Sevin Okyay (Çevirmen), Ayça Sabuncuoğlu (Editör)",Harry Potter #2,11 Şubat 2019,314,Karton kapak,9789750802950,"Çocuk, Edebiyat, Fantastik, Gençlik, Roman",Harry Potter And The Chamber Of Secrets,null,Türkçe,null,null,null,0-13 Yaş%6.714-17 Yaş%20.318-24 Yaş%32.525-34 Yaş%27.235-44 Yaş%9.245-54 Yaş%2.555-64 Yaş%0.465+ Yaş%1.2,Kadın%74.6Erkek%25.4,9.2,2.766
Şu Çılgın Türkler,Turgut Özakman,null,2007,752,Karton kapak, 9789752201279,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,Bilgi Yayınları,null,0-13 Yaş%8.414-17 Yaş%3.418-24 Yaş%15.825-34 Yaş%30.335-44 Yaş%26.445-54 Yaş%12.455-64 Yaş%1.765+ Yaş%1.5,Kadın%55.1Erkek%44.9,8.8,2.516
En Son Yürekler Ölür,Canan Tan,null,Mart 2009,424,Karton kapak,9789752110595,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Altın Kitaplar,null,0-13 Yaş%10.314-17 Yaş%8.518-24 Yaş%28.725-34 Yaş%23.735-44 Yaş%16.945-54 Yaş%8.955-64 Yaş%1.265+ Yaş%1.8,Kadın%91.7Erkek%8.2,7.6,1.456
Bukre,Kahraman Tazeoğlu,Bazı Aşklar Aşka İhanettir,Eylül 2013,304,Karton kapak,9786054771738,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%21.214-17 Yaş%15.618-24 Yaş%26.325-34 Yaş%19.435-44 Yaş%10.945-54 Yaş%3.755-64 Yaş%0.165+ Yaş%2.7,Kadın%83.2Erkek%16.8,6.4,2.180
Ateşi Yakalamak,"Suzanne Collins, Taylan Taftaf (Çevirmen)",Açlık Oyunları #2,Kasım 2015,448,Karton kapak,9786050930672,"Edebiyat, Fantastik, Roman",Catching The Fire,null,Türkçe,null,null,null,0-13 Yaş%7.714-17 Yaş%16.918-24 Yaş%32.125-34 Yaş%22.335-44 Yaş%15.445-54 Yaş%455-64 Yaş%0.265+ Yaş%1.4,Kadın%78.8Erkek%21.2,8.5,1.874
Küçük Kara Balık,"Samed Behrengi, Haşim Hüsrevşahi (Çevirmen)",null,Aralık 2018,56,Karton kapak,9789755109725,"Çocuk, Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Can Yayınları,null,0-13 Yaş%1014-17 Yaş%8.918-24 Yaş%24.325-34 Yaş%31.935-44 Yaş%16.845-54 Yaş%5.655-64 Yaş%0.665+ Yaş%2,Kadın%77.6Erkek%22.4,8.8,2.456
Böyle Söyledi Zerdüşt,"Friedrich Nietzsche, Mustafa Tüzel (Çevirmen)",null,2018,335,Karton kapak,9786053603535,"Edebiyat, Felsefe-Düşünce, Roman",Also Sprach Zarathustra,null,Türkçe,Türkiye,null,null,0-13 Yaş%14.414-17 Yaş%5.418-24 Yaş%24.425-34 Yaş%28.535-44 Yaş%19.145-54 Yaş%4.355-64 Yaş%0.765+ Yaş%3.2,Kadın%51.4Erkek%48.6,8.5,2.306
İskender,"Elif Şafak, Omca Korugan (Çevirmen)",null,Temmuz 2011,448,Karton kapak,9786050902518,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%9.214-17 Yaş%4.918-24 Yaş%2225-34 Yaş%27.435-44 Yaş%2445-54 Yaş%9.555-64 Yaş%1.465+ Yaş%1.6,Kadın%78.9Erkek%21.1,7.7,1.754
İntibah,Namık Kemal,null,Mayıs 2018,164,Karton kapak,9786052954591,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%5.514-17 Yaş%9.818-24 Yaş%34.825-34 Yaş%29.435-44 Yaş%14.145-54 Yaş%4.555-64 Yaş%0.865+ Yaş%1.1,Kadın%75.3Erkek%24.7,7.7,1.660
Eroinle Dans,Canan Tan,Alevden Küle,Ekim 2005,400,Karton kapak,9789752106123,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%9.514-17 Yaş%10.218-24 Yaş%34.425-34 Yaş%22.435-44 Yaş%13.845-54 Yaş%6.755-64 Yaş%1.265+ Yaş%1.8,Kadın%91.4Erkek%8.5,7.7,1.435
Ana,"Maksim Gorki, Mazlum Beyhan (Çevirmen)",null,Temmuz 2016,416,Karton kapak,9789756525630,"Dünya Klasikleri, Edebiyat, Roman",Мать,Mazlum Beyhan,Türkçe,null,null,null,0-13 Yaş%6.314-17 Yaş%4.218-24 Yaş%1825-34 Yaş%27.535-44 Yaş%28.445-54 Yaş%1255-64 Yaş%265+ Yaş%1.7,Kadın%64.8Erkek%35.1,8.7,2.176
Fakat Müzeyyen Bu Derin Bir Tutku,İlhami Algör,null,Aralık 2014,59,Karton kapak,9789750516832,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,İletişim Yayıncılık,null,0-13 Yaş%1814-17 Yaş%11.418-24 Yaş%31.125-34 Yaş%2635-44 Yaş%9.445-54 Yaş%1.955-64 Yaş%0.365+ Yaş%1.9,Kadın%77Erkek%23,7.4,2.243
Beyoğlu Rapsodisi,Ahmet Ümit,null,Eylül 2016,408,Karton kapak,9789752897380,"Edebiyat, Polisiye, Roman",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%714-17 Yaş%4.418-24 Yaş%17.125-34 Yaş%2935-44 Yaş%29.645-54 Yaş%10.855-64 Yaş%1.165+ Yaş%1,Kadın%71.3Erkek%28.6,8.2,1.968
